Entry	Entry Name	Protein names	Organism	Length	Gene Names
B3VI56	U91D2_STERE	UDP-glycosyltransferase 91D2 (EC 2.4.1.-)	Stevia rebaudiana (Stevia) (Eupatorium rebaudianum)	473	UGT91D2
Q940V3	U91A1_ARATH	UDP-glycosyltransferase 91A1 (EC 2.4.1.-)	Arabidopsis thaliana (Mouse-ear cress)	470	UGT91A1 At2g22590 T9I22.3
Q9LSM0	U91B1_ARATH	UDP-glycosyltransferase 91B1 (EC 2.4.1.-)	Arabidopsis thaliana (Mouse-ear cress)	466	UGT91B1 At5g65550 K21L13.6
Q9LTA3	U91C1_ARATH	UDP-glycosyltransferase 91C1 (EC 2.4.1.-)	Arabidopsis thaliana (Mouse-ear cress)	460	UGT91C1 At5g49690 K2I5.5
Q6VAA8	U91D1_STERE	UDP-glycosyltransferase 91D1 (EC 2.4.1.-)	Stevia rebaudiana (Stevia) (Eupatorium rebaudianum)	485	UGT91D1
A0A0X9IIN0	A0A0X9IIN0_CAMSI	Glycosyltransferase (EC 2.4.1.-)	Camellia sinensis (Tea plant) (Thea sinensis)	483	UGT91A4
A0AAV6NCT8	A0AAV6NCT8_9ROSI	UDP-glycosyltransferase 91A1	Cucurbita argyrosperma subsp. sororia	847	UGT91A1 SDJN03_11466
A0A067XT88	A0A067XT88_CICAR	UDP-glycosyltransferase	Cicer arietinum (Chickpea) (Garbanzo)	467	UGT91M1
A0A067XTJ8	A0A067XTJ8_CICAR	Soyasaponin III rhamnosyltransferase (UDP-glycosyltransferase)	Cicer arietinum (Chickpea) (Garbanzo)	471	UGT91H7
A0A067XTX4	A0A067XTX4_CICAR	Soyasaponin III rhamnosyltransferase (UDP-glycosyltransferase)	Cicer arietinum (Chickpea) (Garbanzo)	478	UGT91H8
A0A072UTM6	A0A072UTM6_MEDTR	Putative soyasaponin III rhamnosyltransferase (EC 2.4.1.273) (UDP-glucosyltransferase family protein) (UDP-glucuronosyl/UDP-glucosyltransferase)	Medicago truncatula (Barrel medic) (Medicago tribuloides)	466	UGT91H12 25494145 MTR_4g123553 MtrunA17_Chr4g0069611
A0A0R0HRL5	A0A0R0HRL5_SOYBN	Glycosyltransferase	Glycine max (Soybean) (Glycine hispida)	464	UGT91H9 SG-3 GLYMA_10G104700
A0A0R0INR5	A0A0R0INR5_SOYBN	Glycosyltransferase	Glycine max (Soybean) (Glycine hispida)	472	UGT91H4 GLYMA_08G181000
